ID,CODIGO,NOME,LST-4graus,V_%area-ve,V_vegeta-a,LST_Vegeta,hidro__max,geo__max,V_Area_veg,LST,Altitude
146.000000000000000,770.000000000000000,Santa Maria,"1012",0.000,"50","1062",0.999315142631531,6.213969707489014,0.023,"12","1000"
189.000000000000000,814.000000000000000,Vila Oeste,"1012",,"50","1062",,0.999595046043396,,"12","1000"
113.000000000000000,731.000000000000000,Nova Gameleira,"1012",0.277,"50","1062",5.491853713989258,3.999275922775269,3240.344,"12","1000"
114.000000000000000,732.000000000000000,Nova Granada,"1008",0.049,"50","1058",6.411074638366700,0.999882996082306,303.214,"8","1000"
69.000000000000000,681.000000000000000,Funcion�rios,"1008",0.451,"50","1058",3.999084234237671,0.999675035476685,3013.255,"8","1000"
99.000000000000000,716.000000000000000,Luxemburgo,"1008",5.750,"60","1068",0.939630687236786,6.359220504760742,35707.231,"8","1000"
48.000000000000000,655.000000000000000,Cora��o de Jesus,"1008",,"50","1058",22.889429092407227,2.543019533157349,,"8","1000"
214.000000000000000,1006.000000000000000,Monte S�o Jos�,"1008",,"50","1058",,5.146053791046144,,"8","1000"
319.000000000000000,1323.000000000000000,Estrela,"1008",13.857,"60","1068",0.999814987182617,2.572746276855469,10227.764,"8","1000"
350.000000000000000,1358.000000000000000,Vila Madre Gertrudes III,"1008",25.345,"70","1078",5.854285717010498,,4453.199,"8","1000"
265.000000000000000,1258.000000000000000,Jonas Veiga,"1008",9.378,"60","1068",3.996820926666260,1.999902009963989,49139.170,"8","1000"
355.000000000000000,1363.000000000000000,Nossa Senhora de F�tima,"1504",8.024,"60","1564",0.999623060226440,3.518043279647827,49787.692,"4","1500"
366.000000000000000,1374.000000000000000,Pindura Saia,"1008",,"50","1058",,,,"8","1000"
414.000000000000000,1423.000000000000000,Vila FUMEC,"1008",,"50","1058",,,,"8","1000"
328.000000000000000,1332.000000000000000,Imba�bas,"1008",,"50","1058",,3.978967666625977,,"8","1000"
110.000000000000000,728.000000000000000,Nova Cintra,"1012",0.348,"50","1062",7.013295650482178,4.552590847015382,2525.574,"12","1000"
377.000000000000000,1670.000000000000000,S�o Jorge I,"1008",,"50","1058",0.989204108715057,1.527906060218811,,"8","1000"
100.000000000000000,717.000000000000000,Madre Gertrudes,"1012",0.942,"50","1062",10.211626052856445,0.999491035938263,5051.169,"12","1000"
192.000000000000000,817.000000000000000,Virg�nia,"1008",0.047,"50","1058",,,26.633,"8","1000"
383.000000000000000,1392.000000000000000,Sport Club,"1008",,"50","1058",0.999663054943085,,,"8","1000"
32.000000000000000,637.000000000000000,Carmo,"1008",,"50","1058",,0.999911010265350,,"8","1000"
