data,mes,ano,temp_min,temp_media,temp_max,amplitude_termica,orvalho,umidade_relativa_min,umidade_relativa_media,velocidade_vento_media,velocidade_vento_max,pressao_atm_media,precipitacao_total,obitos_feminino,obitos_masculino,obitos_infantil,obitos_total
02apr2014,4,2014,19.799999,22.5,29.1,9.3000011,19,52,82.199997,1.5,9.1999998,918.29999,18.6,17,25,,42
01apr2014,4,2014,19.9,23.200001,30.1,10.200001,17.9,45,73.400002,1.7,8.8999996,919.59998,1.4,15,26,,41
12apr2014,4,2014,20.1,22.6,26.1,6,17.299999,58,72.300003,2.3,6.9000001,919.59998,0,21,19,,40
22apr2014,4,2014,20.200001,23.4,29.799999,9.5999985,17.1,35,69.599998,1.7,9.6000004,918.29999,0,21,24,,45
15apr2014,4,2014,20.200001,22.299999,25.9,5.6999989,17,62,72.300003,2.8,9.3000002,918.70001,.2,24,26,,50
14apr2014,4,2014,20.299999,22.799999,26.4,6.1000004,18.299999,59,76.099998,1.8,6.9000001,918.20001,6.1999998,21,20,,41
11apr2014,4,2014,20.700001,23.5,28.5,7.7999992,17.9,53,71.099998,2.5,9.8999996,919.09998,12.2,10,20,,30
13apr2014,4,2014,20.799999,23.700001,29.5,8.7000008,16.9,44,66.300003,1.5,5.9000001,918.59998,0,16,27,,43
13may2014,5,2014,10.8,17.9,25.1,14.3,8.6999998,29,57.599998,1.5,6.8000002,920.90002,0,27,14,,41
14may2014,5,2014,11.7,18.799999,25.9,14.2,10,31,59.5,1.4,6.0999999,920.59998,0,16,22,,38
01may2014,5,2014,12.6,18.6,25.9,13.299999,9.8999996,35,58.400002,1.2,6,919.40002,0,32,35,,67
02may2014,5,2014,12.7,19.799999,27,14.3,11.2,30,61.599998,1.1,7.4000001,920.20001,0,17,21,,38
28may2014,5,2014,13.2,20.200001,26.6,13.400001,9.6000004,22,54.200001,1,6.3000002,918.79999,0,23,22,,45
12may2014,5,2014,13.3,17.6,23.4,10.099999,9.8000002,40,62,2.8,10.9,922.09998,0,21,21,,42
03may2014,5,2014,13.8,19.200001,25.5,11.7,11.3,41,61.599998,1.9,8.6999998,922.40002,0,20,21,,41
15may2014,5,2014,14.1,20.200001,26.9,12.799999,11.3,30,58.799999,1.7,6.5,920.29999,0,26,27,,53
05may2014,5,2014,14.2,20.700001,28,13.8,13.5,36,66,1.2,6.0999999,920.79999,0,21,25,,46
16may2014,5,2014,14.3,20.299999,27.1,12.8,11.5,32,59.799999,1.1,5.5,918.70001,0,15,28,,43
20may2014,5,2014,14.3,20.5,26.700001,12.400001,13.5,37,66.099998,1.5,8.1999998,920.20001,0,24,24,,48
