data;hora;temperatura_maxima
22/01/2014;2100;21.2
22/01/2014;2200;20.2
22/01/2014;2300;20.3
23/01/2014;0;20.3
23/01/2014;100;19.7
23/01/2014;200;19.3
23/01/2014;300;19.1
23/01/2014;400;19.2
23/01/2014;500;19.6
23/01/2014;600;19.6
23/01/2014;700;18.9
23/01/2014;800;18.1
23/01/2014;900;18.7
23/01/2014;1000;22.4
23/01/2014;1100;23.9
23/01/2014;1200;25.8
23/01/2014;1300;26.3
23/01/2014;1400;28.5
23/01/2014;1500;29.2
23/01/2014;1600;29.7
23/01/2014;1700;30.3
23/01/2014;1800;29.2
23/01/2014;1900;28.3
23/01/2014;2000;29.2
23/01/2014;2100;27.8
23/01/2014;2200;26.9
23/01/2014;2300;25.6
24/01/2014;0;24.8
24/01/2014;100;24.1
24/01/2014;200;23.3
24/01/2014;300;23
24/01/2014;400;22.9
24/01/2014;500;22.6
24/01/2014;600;22.5
24/01/2014;700;21.8
24/01/2014;800;21.9
24/01/2014;900;21.7
24/01/2014;1000;23.1
24/01/2014;1100;24.7
24/01/2014;1200;26.7
24/01/2014;1300;27.7
24/01/2014;1400;28.7
24/01/2014;1500;29.4
24/01/2014;1600;30
24/01/2014;1700;30.9
24/01/2014;1800;31.2
24/01/2014;1900;31.2
24/01/2014;2000;30.8
24/01/2014;2100;29
24/01/2014;2200;27.2
24/01/2014;2300;26.3
25/01/2014;0;26.2
25/01/2014;100;25.4
25/01/2014;200;25
25/01/2014;300;24.1
25/01/2014;400;23.4
25/01/2014;500;22.4
25/01/2014;600;21.8
25/01/2014;700;21.5
25/01/2014;800;21.5
25/01/2014;900;21
25/01/2014;1000;22.8
25/01/2014;1100;25
25/01/2014;1200;25.7
25/01/2014;1300;26.6
25/01/2014;1400;28.6
25/01/2014;1500;29.5
25/01/2014;1600;30.4
25/01/2014;1700;30.5
25/01/2014;1800;30.9
25/01/2014;1900;30.8
25/01/2014;2000;30.4
25/01/2014;2100;29
25/01/2014;2200;27.2
25/01/2014;2300;26.2
26/01/2014;0;25.3
26/01/2014;100;24.9
26/01/2014;200;24.4
26/01/2014;300;23.9
26/01/2014;400;22.9
26/01/2014;500;22.4
26/01/2014;600;21.8
26/01/2014;700;21
26/01/2014;800;21.3
26/01/2014;900;21.3
26/01/2014;1000;23
26/01/2014;1100;25.4
26/01/2014;1200;26.1
26/01/2014;1300;27.1
26/01/2014;1400;27.6
26/01/2014;1500;28.9
26/01/2014;1600;29.7
26/01/2014;1700;29.4
26/01/2014;1800;30
26/01/2014;1900;29.3
26/01/2014;2000;29.3
26/01/2014;2100;28.4
26/01/2014;2200;27.2
26/01/2014;2300;25.9
27/01/2014;0;24.7
27/01/2014;100;23.4
27/01/2014;200;23.2
27/01/2014;300;22.8
27/01/2014;400;22.6
27/01/2014;500;22.4
27/01/2014;600;22.1
27/01/2014;700;21.8
27/01/2014;800;21.4
27/01/2014;900;20.8
27/01/2014;1000;22.4
27/01/2014;1100;23.7
27/01/2014;1200;25.4
27/01/2014;1300;26.3
27/01/2014;1400;28.1
27/01/2014;1500;28.9
27/01/2014;1600;29.9
27/01/2014;1700;30.4
27/01/2014;1800;30.4
27/01/2014;1900;30.2
27/01/2014;2000;28.8
27/01/2014;2100;28.1
27/01/2014;2200;26.7
27/01/2014;2300;25.7
28/01/2014;0;25
28/01/2014;100;23.9
28/01/2014;200;23.6
28/01/2014;300;22.6
28/01/2014;400;22.2
28/01/2014;500;21.9
28/01/2014;600;21.5
28/01/2014;700;21.3
28/01/2014;800;20.6
28/01/2014;900;20.1
28/01/2014;1000;21.2
28/01/2014;1100;22.8
28/01/2014;1200;24.3
28/01/2014;1300;25.6
28/01/2014;1400;27.4
28/01/2014;1500;28.3
28/01/2014;1600;28.8
28/01/2014;1700;29.7
28/01/2014;1800;30.2
28/01/2014;1900;29.1
28/01/2014;2000;29
28/01/2014;2100;28
28/01/2014;2200;27
28/01/2014;2300;25.7
29/01/2014;0;24.8
29/01/2014;100;23.9
29/01/2014;200;22.6
29/01/2014;300;22.6
29/01/2014;400;22.2
29/01/2014;500;22.2
29/01/2014;600;21.9
29/01/2014;700;21.3
29/01/2014;800;20.9
29/01/2014;900;20.3
29/01/2014;1000;21
29/01/2014;1100;22.5
29/01/2014;1200;24.4
29/01/2014;1300;25.7
29/01/2014;1400;27
29/01/2014;1500;27.7
29/01/2014;1600;28.3
29/01/2014;1700;28.1
29/01/2014;1800;29.4
29/01/2014;1900;28.6
29/01/2014;2000;28
29/01/2014;2100;27.5
29/01/2014;2200;26.4
29/01/2014;2300;25.2
30/01/2014;0;24.3
30/01/2014;100;23.6
30/01/2014;200;22.9
30/01/2014;300;22.9
30/01/2014;400;22.7
30/01/2014;500;21.9
30/01/2014;600;21
30/01/2014;700;20.6
30/01/2014;800;20.3
30/01/2014;900;20.3
30/01/2014;1000;21.3
30/01/2014;1100;23.2
30/01/2014;1200;24.9
30/01/2014;1300;25.7
30/01/2014;1400;26.6
30/01/2014;1500;27.7
30/01/2014;1600;29.3
30/01/2014;1700;29.3
30/01/2014;1800;29.7
30/01/2014;1900;29.8
30/01/2014;2000;29
30/01/2014;2100;28.3
30/01/2014;2200;27
30/01/2014;2300;25.6
31/01/2014;0;24.7
31/01/2014;100;24
31/01/2014;200;23.5
31/01/2014;300;23
31/01/2014;400;22.6
31/01/2014;500;21.3
31/01/2014;600;20.5
31/01/2014;700;20.3
31/01/2014;800;19.8
31/01/2014;900;19.5
31/01/2014;1000;21
31/01/2014;1100;21.7
31/01/2014;1200;24.1
31/01/2014;1300;25.5
31/01/2014;1400;27.8
31/01/2014;1500;28.8
31/01/2014;1600;29.7
31/01/2014;1700;30.2
31/01/2014;1800;30.6
31/01/2014;1900;30.3
31/01/2014;2000;30.1
31/01/2014;2100;28.6
31/01/2014;2200;27.3
31/01/2014;2300;26.1
01/02/2014;0;25
01/02/2014;100;24.2
01/02/2014;200;23.4
01/02/2014;300;22.8
01/02/2014;400;22.3
01/02/2014;500;22.2
01/02/2014;600;22.3
01/02/2014;700;21.9
01/02/2014;800;21.3
01/02/2014;900;20
01/02/2014;1000;22.4
01/02/2014;1100;24.2
01/02/2014;1200;25.5
01/02/2014;1300;26.1
01/02/2014;1400;27
01/02/2014;1500;28.5
01/02/2014;1600;29.3
01/02/2014;1700;30.1
01/02/2014;1800;29.6
01/02/2014;1900;30.5
01/02/2014;2000;29.2
01/02/2014;2100;28.3
01/02/2014;2200;27.1
01/02/2014;2300;25.9
02/02/2014;0;24.7
02/02/2014;100;23.3
02/02/2014;200;23.5
02/02/2014;300;23.4
02/02/2014;400;23.1
02/02/2014;500;22.9
02/02/2014;600;22.8
02/02/2014;700;22.2
02/02/2014;800;21.9
02/02/2014;900;21.4
02/02/2014;1000;21.4
02/02/2014;1100;24.1
02/02/2014;1200;25.2
02/02/2014;1300;27.3
02/02/2014;1400;28.6
02/02/2014;1500;29.8
02/02/2014;1600;30
02/02/2014;1700;29.5
02/02/2014;1800;29.8
02/02/2014;1900;29.8
02/02/2014;2000;29.1
02/02/2014;2100;28.6
02/02/2014;2200;28
02/02/2014;2300;26.9
03/02/2014;0;25.8
03/02/2014;100;24.4
03/02/2014;200;24.4
03/02/2014;300;24
03/02/2014;400;23.7
03/02/2014;500;23.3
03/02/2014;600;22.5
03/02/2014;700;22
03/02/2014;800;21.4
03/02/2014;900;21.4
03/02/2014;1000;23
03/02/2014;1100;24.1
03/02/2014;1200;24.9
03/02/2014;1300;27.5
03/02/2014;1400;28
03/02/2014;1500;29.8
03/02/2014;1600;29.9
03/02/2014;1700;30.3
03/02/2014;1800;31
03/02/2014;1900;29.7
03/02/2014;2000;29.8
03/02/2014;2100;29.2
03/02/2014;2200;27.4
03/02/2014;2300;26.4
04/02/2014;0;25.9
04/02/2014;100;25
04/02/2014;200;24
04/02/2014;300;23.2
04/02/2014;400;23.1
04/02/2014;500;23.1
04/02/2014;600;21.2
04/02/2014;700;21.7
04/02/2014;800;22
04/02/2014;900;21.8
04/02/2014;1000;23.1
04/02/2014;1100;25.1
04/02/2014;1200;26.1
04/02/2014;1300;27.8
04/02/2014;1400;28.8
04/02/2014;1500;30.1
04/02/2014;1600;31.2
04/02/2014;1700;31.7
04/02/2014;1800;31.9
04/02/2014;1900;31.6
04/02/2014;2000;31
04/02/2014;2100;30.5
04/02/2014;2200;29
04/02/2014;2300;27.8
05/02/2014;0;27
05/02/2014;100;26.1
05/02/2014;200;25.8
05/02/2014;300;25.1
05/02/2014;400;24.1
05/02/2014;500;23.7
05/02/2014;600;23.2
05/02/2014;700;22.1
05/02/2014;800;21.6
05/02/2014;900;21.4
05/02/2014;1000;22.9
05/02/2014;1100;23.9
05/02/2014;1200;25.1
05/02/2014;1300;26.7
05/02/2014;1400;27
05/02/2014;1500;28.4
05/02/2014;1600;29.1
05/02/2014;1700;29.8
05/02/2014;1800;29.9
05/02/2014;1900;29.6
05/02/2014;2000;29.4
05/02/2014;2100;28.3
05/02/2014;2200;27
05/02/2014;2300;26.1
06/02/2014;0;25.6
06/02/2014;100;24
06/02/2014;200;23.2
06/02/2014;300;22.6
06/02/2014;400;22
06/02/2014;500;21.7
06/02/2014;600;21.1
06/02/2014;700;20.8
06/02/2014;800;20.5
06/02/2014;900;20.4
06/02/2014;1000;21.4
06/02/2014;1100;22.9
06/02/2014;1200;24.7
06/02/2014;1300;25.9
06/02/2014;1400;27.3
06/02/2014;1500;28.1
06/02/2014;1600;29
06/02/2014;1700;29.2
06/02/2014;1800;29.4
06/02/2014;1900;29.6
06/02/2014;2000;29.3
06/02/2014;2100;28.2
06/02/2014;2200;27
06/02/2014;2300;26
07/02/2014;0;25.2
07/02/2014;100;24.4
07/02/2014;200;23.4
07/02/2014;300;22.9
07/02/2014;400;22.8
07/02/2014;500;22.6
07/02/2014;600;22.5
07/02/2014;700;21.9
07/02/2014;800;21.3
07/02/2014;900;20.7
07/02/2014;1000;21
07/02/2014;1100;22.8
07/02/2014;1200;23.9
07/02/2014;1300;26.2
07/02/2014;1400;27.2
07/02/2014;1500;28.5
07/02/2014;1600;29.6
07/02/2014;1700;30.2
07/02/2014;1800;29.7
07/02/2014;1900;29.9
07/02/2014;2000;29.4
07/02/2014;2100;28.5
07/02/2014;2200;27.3
07/02/2014;2300;26
08/02/2014;0;25.1
08/02/2014;100;24.4
08/02/2014;200;22.9
08/02/2014;300;23.1
08/02/2014;400;22.6
08/02/2014;500;22.1
08/02/2014;600;21.7
08/02/2014;700;21.4
08/02/2014;800;20.9
08/02/2014;900;20
08/02/2014;1000;21.4
08/02/2014;1100;22.9
08/02/2014;1200;24.8
08/02/2014;1300;26
08/02/2014;1400;27.6
08/02/2014;1500;28.7
08/02/2014;1600;29.7
08/02/2014;1700;30.2
08/02/2014;1800;30.7
08/02/2014;1900;30.9
08/02/2014;2000;29.9
08/02/2014;2100;29.1
08/02/2014;2200;27.6
08/02/2014;2300;26.2
09/02/2014;0;25
09/02/2014;100;23.9
09/02/2014;200;23.6
09/02/2014;300;23.1
09/02/2014;400;22.5
09/02/2014;500;22.4
09/02/2014;600;21.9
09/02/2014;700;21.2
09/02/2014;800;20.5
09/02/2014;900;20.1
09/02/2014;1000;21.7
09/02/2014;1100;23.3
09/02/2014;1200;25.1
09/02/2014;1300;26.2
09/02/2014;1400;27
09/02/2014;1500;28
09/02/2014;1600;29
09/02/2014;1700;30
09/02/2014;1800;30.5
09/02/2014;1900;29.9
09/02/2014;2000;29.7
09/02/2014;2100;28.8
09/02/2014;2200;27.4
09/02/2014;2300;26.2
10/02/2014;0;25.1
10/02/2014;100;24.6
10/02/2014;200;23.9
10/02/2014;300;23.2
10/02/2014;400;22.1
10/02/2014;500;22.3
10/02/2014;600;22.1
10/02/2014;700;21.7
10/02/2014;800;21.2
10/02/2014;900;20.7
10/02/2014;1000;21.8
10/02/2014;1100;23.8
10/02/2014;1200;25.1
10/02/2014;1300;26.5
10/02/2014;1400;28.7
10/02/2014;1500;28.9
10/02/2014;1600;30
10/02/2014;1700;30.5
10/02/2014;1800;30.4
10/02/2014;1900;30
10/02/2014;2000;29.5
10/02/2014;2100;28.8
10/02/2014;2200;27.6
10/02/2014;2300;25.8
11/02/2014;0;24.8
11/02/2014;100;23.6
11/02/2014;200;23.3
11/02/2014;300;23.3
11/02/2014;400;22.4
11/02/2014;500;22
11/02/2014;600;21.5
11/02/2014;700;21.1
11/02/2014;800;20.7
11/02/2014;900;20.6
11/02/2014;1000;21.7
11/02/2014;1100;23.1
11/02/2014;1200;24.2
11/02/2014;1300;25.6
11/02/2014;1400;26.8
11/02/2014;1500;28
11/02/2014;1600;28.8
11/02/2014;1700;29.8
11/02/2014;1800;29.4
11/02/2014;1900;29.1
11/02/2014;2000;29.1
11/02/2014;2100;26.7
11/02/2014;2200;25.9
11/02/2014;2300;25.1
12/02/2014;0;24.5
12/02/2014;100;23.5
12/02/2014;200;22.6
12/02/2014;300;22.5
12/02/2014;400;22
12/02/2014;500;21.6
12/02/2014;600;21.2
12/02/2014;700;20.7
12/02/2014;800;20.1
12/02/2014;900;20.1
12/02/2014;1000;20.7
12/02/2014;1100;21.3
12/02/2014;1200;23.5
12/02/2014;1300;24.5
12/02/2014;1400;27.1
12/02/2014;1500;26.4
12/02/2014;1600;26.3
12/02/2014;1700;28.8
12/02/2014;1800;29.5
12/02/2014;1900;29.6
12/02/2014;2000;29.7
12/02/2014;2100;27.2
12/02/2014;2200;26
12/02/2014;2300;24.6
13/02/2014;0;23.7
13/02/2014;100;23.3
13/02/2014;200;22.9
13/02/2014;300;22.6
13/02/2014;400;22.1
13/02/2014;500;21.6
13/02/2014;600;21.3
13/02/2014;700;21
13/02/2014;800;20.7
13/02/2014;900;20.4
13/02/2014;1000;21.5
13/02/2014;1100;23.5
